#{"t_start": 1691064604.8087392, "env_id": null}
r,l,t
0.0,6,0.641222
-0.96875,5,0.642481
-0.96875,5,0.643608
0.0,6,0.644958
-0.96875,5,0.646192
0.0,6,0.647479
-0.96875,5,0.648627
-0.96875,5,0.649874
-0.9375,4,0.650957
0.0,6,0.65253
0.0,6,0.654083
-0.96875,5,0.655176
-0.96875,5,0.656352
0.0,6,0.657979
-0.96875,5,0.659349
0.0,6,0.660709
-0.96875,5,0.661881
0.0,6,0.663216
-0.96875,5,0.664346
0.0,6,0.665615
-0.96875,5,0.666906
-0.96875,5,0.668235
0.0,6,0.669943
-0.96875,5,0.671099
-0.96875,5,0.672359
-0.96875,5,0.673457
-0.9375,4,0.674395
0.0,6,0.67599
-0.96875,5,0.67753
-0.96875,5,0.678783
-0.96875,5,0.67989
-0.96875,5,0.68099
-0.96875,5,0.682358
-0.96875,5,0.683545
-0.9375,4,0.684655
0.0,6,0.686139
-0.96875,5,0.687404
0.0,6,0.688685
0.0,6,0.690023
0.0,6,0.691307
-0.96875,5,0.692469
-0.96875,5,0.693716
-0.96875,5,0.694861
-0.96875,5,0.69594
-0.96875,5,0.697103
0.0,6,0.698433
-0.96875,5,0.699513
0.0,6,0.700839
-0.96875,5,0.702002
-0.9375,4,0.702883
0.0,6,0.704333
-0.96875,5,0.705935
0.0,6,0.707545
-0.96875,5,0.708642
-0.96875,5,0.709784
-0.9375,4,0.711125
-0.96875,5,0.712471
0.0,6,0.713795
0.0,6,0.715147
-0.96875,5,0.716306
0.0,6,0.717731
0.0,6,0.719022
-0.9375,4,0.719913
-0.96875,5,0.721069
-0.96875,5,0.722299
-0.96875,5,0.723395
0.0,6,0.724677
0.0,6,0.726056
-0.96875,5,0.727253
-0.96875,5,0.728384
0.0,6,0.729768
0.0,6,0.731086
0.0,6,0.73255
-0.96875,5,0.733745
-0.96875,5,0.734908
0.0,6,0.736226
-0.9375,4,0.737171
-0.96875,5,0.738242
0.0,6,0.73956
0.0,6,0.740837
-0.96875,5,0.742407
0.0,6,0.743814
0.0,6,0.7451
-0.96875,5,0.746409
-0.96875,5,0.747579
-0.96875,5,0.748664
-0.96875,5,0.749746
0.0,6,0.751079
-0.96875,5,0.752365
0.0,6,0.754226
0.0,6,0.756208
-0.96875,5,0.757372
-0.96875,5,0.758702
-0.96875,5,0.759793
-0.96875,5,0.761183
-0.9375,4,0.762087
-0.9375,4,0.763058
0.0,6,0.764389
0.0,6,0.76567
-0.96875,5,0.76675
-0.9375,4,0.767706
-0.96875,5,0.768993
-0.96875,5,0.770286
-0.96875,5,0.771718
0.0,6,0.773453
0.0,6,0.77475
-0.9375,4,0.77563
-0.96875,5,0.776713
0.0,6,0.778277
-0.96875,5,0.779665
-0.96875,5,0.780781
-0.96875,5,0.781938
0.0,6,0.783344
0.0,6,0.784806
-0.96875,5,0.78597
0.0,6,0.787689
-0.9375,4,0.788908
-0.96875,5,0.790212
0.0,6,0.791687
-0.96875,5,0.793016
0.0,6,0.7947
-0.96875,5,0.796072
0.0,6,0.797552
-0.9375,4,0.798516
0.0,6,0.79997
0.0,6,0.801492
0.0,6,0.802947
-0.96875,5,0.804344
0.0,6,0.806204
0.0,6,0.807593
0.0,6,0.809015
0.0,6,0.810367
0.0,6,0.811873
-0.96875,5,0.813064
-0.96875,5,0.814356
-0.96875,5,0.815692
-0.96875,5,0.817027
-0.9375,4,0.818037
0.0,6,0.81962
0.0,6,0.821519
-0.9375,4,0.822902
0.0,6,0.824437
0.0,6,0.825953
0.0,6,0.827418
-0.96875,5,0.829028
0.0,6,0.830586
-0.96875,5,0.831839
-0.9375,4,0.832839
0.0,6,0.834458
0.0,6,0.835912
-0.96875,5,0.837297
0.0,6,0.838789
0.0,6,0.840366
0.0,6,0.841777
0.0,6,0.843239
-0.96875,5,0.844439
-0.96875,5,0.84571
-0.96875,5,0.846887
0.0,6,0.84832
0.0,6,0.849681
0.0,6,0.851187
0.0,6,0.852555
-0.96875,5,0.853768
0.0,6,0.855086
0.0,6,0.856494
-0.9375,4,0.857363
-0.96875,5,0.858448
-0.96875,5,0.859679
0.0,6,0.861114
-0.9375,4,0.861986
-0.96875,5,0.863062
-0.9375,4,0.863937
-0.96875,5,0.865085
-0.9375,4,0.865955
-0.9375,4,0.866828
-0.96875,5,0.867903
-0.96875,5,0.869111
-0.96875,5,0.870466
0.0,6,0.871761
-0.96875,5,0.873012
0.0,6,0.874373
0.0,6,0.875703
-0.96875,5,0.876784
-0.96875,5,0.87787
0.0,6,0.879269
-0.96875,5,0.880352
-0.9375,4,0.881238
-0.96875,5,0.882316
0.0,6,0.883839
0.0,6,0.88544
-0.96875,5,0.887063
-0.96875,5,0.888692
0.0,6,0.890175
0.0,6,0.891566
0.0,6,0.892961
-0.96875,5,0.894277
0.0,6,0.895902
0.0,6,0.897318
-0.96875,5,0.898547
0.0,6,0.899929
0.0,6,0.901585
-0.96875,5,0.902836
-0.96875,5,0.904118
0.0,6,0.905957
0.0,6,0.907529
0.0,6,0.909098
-0.96875,5,0.91033
0.0,6,0.911852
-0.96875,5,0.91323
-0.96875,5,0.914443
-0.9375,4,0.915459
-0.96875,5,0.916692
-0.96875,5,0.917977
-0.96875,5,0.919365
0.0,6,0.920928
-0.96875,5,0.922468
-0.96875,5,0.923857
-0.9375,4,0.924813
-0.96875,5,0.925991
0.0,6,0.927499
-0.96875,5,0.928989
-0.96875,5,0.930177
0.0,6,0.931563
0.0,6,0.932995
-0.96875,5,0.934201
0.0,6,0.935688
-0.96875,5,0.936859
0.0,6,0.938397
-0.9375,4,0.939612
0.0,6,0.94098
-0.96875,5,0.942068
-0.96875,5,0.943156
0.0,6,0.94477
