#{"t_start": 1691064667.092127, "env_id": null}
r,l,t
0.0,6,0.710629
-0.96875,5,0.711755
0.0,6,0.713173
-0.96875,5,0.714262
0.0,6,0.715721
-0.96875,5,0.717132
-0.9375,4,0.718625
0.0,6,0.719974
0.0,6,0.721337
0.0,6,0.722862
-0.96875,5,0.72426
-0.96875,5,0.72556
-0.96875,5,0.726706
0.0,6,0.728154
-0.96875,5,0.729446
-0.96875,5,0.730578
0.0,6,0.732139
-0.96875,5,0.733578
0.0,6,0.735351
0.0,6,0.736756
-0.9375,4,0.737656
0.0,6,0.73897
-0.96875,5,0.74038
-0.96875,5,0.74159
-0.96875,5,0.742737
-0.96875,5,0.744056
-0.96875,5,0.745267
0.0,6,0.746632
-0.9375,4,0.747725
-0.96875,5,0.748924
0.0,6,0.750737
-0.9375,4,0.751834
-0.96875,5,0.752976
-0.96875,5,0.754104
0.0,6,0.755596
0.0,6,0.756976
-0.96875,5,0.758106
-0.9375,4,0.759047
0.0,6,0.760696
0.0,6,0.762014
-0.96875,5,0.763183
-0.96875,5,0.764293
-0.96875,5,0.765624
-0.9375,4,0.766751
0.0,6,0.768382
-0.96875,5,0.769504
0.0,6,0.770901
-0.96875,5,0.772052
0.0,6,0.774212
-0.9375,4,0.776544
0.0,6,0.779373
0.0,6,0.782535
-0.96875,5,0.785549
0.0,6,0.78785
-0.96875,5,0.789652
-0.96875,5,0.791187
0.0,6,0.79295
-0.9375,4,0.794315
0.0,6,0.796333
-0.96875,5,0.799984
0.0,6,0.802181
-0.96875,5,0.804028
-0.96875,5,0.805835
-0.96875,5,0.807338
-0.96875,5,0.808716
-0.96875,5,0.810278
0.0,6,0.812342
0.0,6,0.814206
-0.96875,5,0.815918
0.0,6,0.817525
-0.96875,5,0.818994
0.0,6,0.8208
-0.96875,5,0.822358
0.0,6,0.824152
0.0,6,0.826143
0.0,6,0.828234
-0.9375,4,0.829361
0.0,6,0.830961
0.0,6,0.832916
-0.9375,4,0.834147
-0.96875,5,0.835515
0.0,6,0.837186
-0.96875,5,0.838866
0.0,6,0.840655
0.0,6,0.842374
0.0,6,0.844108
0.0,6,0.845829
0.0,6,0.847351
-0.96875,5,0.848809
-0.96875,5,0.850963
-0.96875,5,0.852802
-0.96875,5,0.854217
-0.9375,4,0.85531
0.0,6,0.857047
0.0,6,0.858747
0.0,6,0.860415
0.0,6,0.862036
-0.96875,5,0.863369
0.0,6,0.865267
-0.96875,5,0.86677
-0.96875,5,0.868523
0.0,6,0.870323
-0.96875,5,0.871748
-0.96875,5,0.873048
0.0,6,0.874807
0.0,6,0.876479
0.0,6,0.878357
-0.9375,4,0.879417
0.0,6,0.880949
0.0,6,0.882741
-0.96875,5,0.884704
0.0,6,0.886594
-0.96875,5,0.888049
-0.96875,5,0.88934
-0.9375,4,0.890593
-0.96875,5,0.891954
0.0,6,0.893614
0.0,6,0.895113
0.0,6,0.896751
0.0,6,0.898367
-0.96875,5,0.899876
-0.96875,5,0.901798
0.0,6,0.903665
-0.96875,5,0.905085
0.0,6,0.906621
-0.96875,5,0.908045
-0.96875,5,0.909767
0.0,6,0.911313
0.0,6,0.912852
-0.9375,4,0.913866
0.0,6,0.915605
-0.96875,5,0.917166
0.0,6,0.919256
-0.96875,5,0.920625
0.0,6,0.922413
-0.96875,5,0.923776
-0.96875,5,0.925121
0.0,6,0.926785
-0.96875,5,0.92835
0.0,6,0.929967
-0.96875,5,0.93132
0.0,6,0.932955
0.0,6,0.934699
-0.9375,4,0.935817
-0.96875,5,0.937041
0.0,6,0.938615
0.0,6,0.940218
-0.96875,5,0.941428
0.0,6,0.942924
0.0,6,0.944307
0.0,6,0.945836
0.0,6,0.947226
-0.96875,5,0.948393
0.0,6,0.949849
0.0,6,0.951289
-0.96875,5,0.952458
-0.96875,5,0.953703
-0.96875,5,0.954899
-0.96875,5,0.956133
0.0,6,0.957542
0.0,6,0.958888
-0.9375,4,0.959877
0.0,6,0.961391
-0.9375,4,0.962309
0.0,6,0.963729
0.0,6,0.965265
-0.96875,5,0.966924
-0.96875,5,0.968125
0.0,6,0.969556
-0.96875,5,0.970702
0.0,6,0.972228
-0.96875,5,0.973409
-0.96875,5,0.974649
0.0,6,0.976108
-0.9375,4,0.977287
-0.96875,5,0.978457
-0.96875,5,0.979603
-0.96875,5,0.980745
0.0,6,0.98248
-0.96875,5,0.9839
-0.96875,5,0.985319
-0.96875,5,0.986558
0.0,6,0.988021
-0.96875,5,0.989289
0.0,6,0.990828
-0.96875,5,0.992028
0.0,6,0.99359
-0.96875,5,0.994741
-0.96875,5,0.995882
-0.96875,5,0.997021
0.0,6,0.998625
-0.96875,5,0.999929
0.0,6,1.001687
-0.96875,5,1.002839
0.0,6,1.004284
0.0,6,1.005696
-0.96875,5,1.006928
0.0,6,1.008422
-0.96875,5,1.009747
0.0,6,1.011134
0.0,6,1.012553
-0.9375,4,1.01349
-0.96875,5,1.014804
-0.96875,5,1.016015
0.0,6,1.018404
0.0,6,1.040488
-0.96875,5,1.043049
-0.96875,5,1.045144
0.0,6,1.046882
0.0,6,1.048568
0.0,6,1.050285
-0.96875,5,1.05171
-0.96875,5,1.053067
-0.96875,5,1.054419
-0.96875,5,1.056121
0.0,6,1.057974
-0.96875,5,1.059318
0.0,6,1.060905
-0.96875,5,1.062326
-0.96875,5,1.063618
-0.96875,5,1.064909
-0.96875,5,1.0664
0.0,6,1.068095
0.0,6,1.069676
0.0,6,1.071209
0.0,6,1.072843
-0.9375,4,1.074005
-0.9375,4,1.075059
-0.96875,5,1.076339
-0.96875,5,1.077595
-0.96875,5,1.078952
-0.96875,5,1.080273
-0.96875,5,1.081541
0.0,6,1.083296
-0.96875,5,1.084924
-0.9375,4,1.086007
0.0,6,1.087428
-0.96875,5,1.088618
-0.9375,4,1.08969
0.0,6,1.091164
0.0,6,1.092573
0.0,6,1.094034
0.0,6,1.095539
0.0,6,1.097008
-0.96875,5,1.098243
-0.9375,4,1.099839
-0.96875,5,1.10235
-0.96875,5,1.103808
-0.9375,4,1.104898
-0.96875,5,1.106212
0.0,6,1.108063
0.0,6,1.109831
-0.9375,4,1.111017
-0.9375,4,1.112141
-0.96875,5,1.113597
0.0,6,1.115536
0.0,6,1.117735
0.0,6,1.119637
-0.9375,4,1.120851
0.0,6,1.122457
0.0,6,1.124286
-0.96875,5,1.125699
-0.96875,5,1.127354
-0.9375,4,1.128515
-0.9375,4,1.129621
-0.96875,5,1.130969
-0.96875,5,1.132829
-0.96875,5,1.134837
0.0,6,1.136583
0.0,6,1.138276
-0.96875,5,1.139755
0.0,6,1.141568
-0.96875,5,1.143008
-0.96875,5,1.144431
0.0,6,1.146223
-0.96875,5,1.147575
0.0,6,1.149322
0.0,6,1.151672
-0.96875,5,1.153476
-0.9375,4,1.154651
-0.96875,5,1.156001
-0.96875,5,1.157404
0.0,6,1.159098
0.0,6,1.160695
-0.96875,5,1.16212
0.0,6,1.163704
0.0,6,1.165609
0.0,6,1.167469
-0.96875,5,1.168842
0.0,6,1.170406
-0.9375,4,1.17167
-0.96875,5,1.173262
-0.9375,4,1.174677
0.0,6,1.176427
-0.96875,5,1.177863
-0.96875,5,1.179333
0.0,6,1.181027
-0.96875,5,1.182572
0.0,6,1.184428
-0.96875,5,1.185766
0.0,6,1.187253
-0.9375,4,1.18828
-0.96875,5,1.189695
-0.96875,5,1.190959
-0.96875,5,1.19218
